movie_id,genre_id,genre_name
1310568,28,Action
795615,27,Horror
795615,53,Thriller
1045944,16,Animation
1045944,10751,Family
1045944,12,Adventure
1381216,27,Horror
1381216,35,Comedy
1381216,12,Adventure
569094,16,Animation
569094,28,Action
569094,12,Adventure
569094,878,Science Fiction
44399,18,Drama
44399,10749,Romance
1715,18,Drama
346698,35,Comedy
346698,12,Adventure
1205225,27,Horror
1205225,53,Thriller
1205225,28,Action
361743,28,Action
361743,18,Drama
429617,28,Action
429617,12,Adventure
429617,878,Science Fiction
1267319,28,Action
1267319,80,Crime
1267319,53,Thriller
737783,10770,TV Movie
1022789,16,Animation
1022789,12,Adventure
1022789,35,Comedy
1022789,10751,Family
1252037,10752,War
1252037,28,Action
1252037,18,Drama
62201,28,Action
1429605,10749,Romance
1429605,35,Comedy
999136,27,Horror
939243,28,Action
939243,878,Science Fiction
939243,35,Comedy
939243,10751,Family
299534,12,Adventure
299534,878,Science Fiction
299534,28,Action
105,12,Adventure
105,35,Comedy
105,878,Science Fiction
1589891,35,Comedy
1589891,28,Action
672,12,Adventure
672,14,Fantasy
1588846,18,Drama
862,10751,Family
862,35,Comedy
862,16,Animation
862,12,Adventure
1317149,18,Drama
1241982,16,Animation
1241982,12,Adventure
1241982,10751,Family
1241982,35,Comedy
1241982,14,Fantasy
1038392,27,Horror
286687,10749,Romance
286687,18,Drama
286687,35,Comedy
497,14,Fantasy
497,18,Drama
497,80,Crime
1497970,16,Animation
1497970,35,Comedy
1497970,10751,Family
1497970,14,Fantasy
1497970,12,Adventure
350,18,Drama
350,35,Comedy
769,18,Drama
769,80,Crime
1389149,53,Thriller
1389149,9648,Mystery
1389149,18,Drama
216015,18,Drama
216015,10749,Romance
216015,53,Thriller
674,12,Adventure
674,14,Fantasy
1242501,28,Action
1242501,80,Crime
1242501,53,Thriller
1489187,35,Comedy
1489187,10749,Romance
1489187,14,Fantasy
1156594,10749,Romance
1156594,18,Drama
424,18,Drama
424,36,History
424,10752,War
1428862,53,Thriller
1428862,18,Drama
1078023,28,Action
1078023,80,Crime
1078023,35,Comedy
1078023,10752,War
541671,28,Action
541671,53,Thriller
541671,80,Crime
1184918,16,Animation
1184918,878,Science Fiction
1184918,10751,Family
1184918,12,Adventure
773543,18,Drama
773543,53,Thriller
1321179,36,History
1321179,18,Drama
1555951,53,Thriller
225914,878,Science Fiction
225914,28,Action
225914,80,Crime
225914,10770,TV Movie
10138,12,Adventure
10138,28,Action
10138,878,Science Fiction
121,12,Adventure
121,14,Fantasy
121,28,Action
240,18,Drama
240,80,Crime
1032892,878,Science Fiction
1032892,18,Drama
1726,28,Action
1726,878,Science Fiction
1726,12,Adventure
982843,878,Science Fiction
982843,12,Adventure
982843,18,Drama
8587,10751,Family
8587,16,Animation
8587,18,Drama
8587,12,Adventure
1035259,28,Action
1035259,35,Comedy
1035259,80,Crime
1643729,18,Drama
1643729,10749,Romance
1643729,10402,Music
101,80,Crime
101,18,Drama
101,28,Action
1629382,18,Drama
1490241,18,Drama
574475,27,Horror
574475,9648,Mystery
941109,80,Crime
941109,28,Action
941109,53,Thriller
157363,16,Animation
157363,14,Fantasy
1357633,28,Action
1357633,12,Adventure
1357633,14,Fantasy
1357633,16,Animation
8966,14,Fantasy
8966,18,Drama
8966,10749,Romance
